,SEASON_ID,PLAYER_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,NAME
39,1980-81,76681,0,1610612755,PHL,31.0,82,,2874.0,794,1524,0.521,4.0,18.0,0.222,422,536,0.787,244.0,413.0,657,364,173.0,147.0,266.0,233,2014,Julius Erving
40,1979-80,76003,0,1610612747,LAL,33.0,82,81.0,3143.0,835,1383,0.604,0.0,1.0,0.0,364,476,0.765,190.0,696.0,886,371,81.0,280.0,297.0,216,2034,Kareem Abdul-Jabbar
41,1978-79,77449,0,1610612745,HOU,24.0,82,82.0,3390.0,716,1325,0.54,,,,599,811,0.7390000000000001,587.0,857.0,1444,147,79.0,119.0,326.0,223,2031,Moses Malone
42,1977-78,78450,0,1610612757,POR,25.0,58,,1929.0,460,882,0.522,,,,177,246,0.72,118.0,648.0,766,291,60.0,146.0,206.0,145,1097,Bill Walton
43,1976-77,76003,0,1610612747,LAL,30.0,82,82.0,3016.0,888,1533,0.579,,,,376,536,0.701,266.0,824.0,1090,319,101.0,261.0,,262,2152,Kareem Abdul-Jabbar
44,1975-76,76003,0,1610612747,LAL,29.0,82,82.0,3379.0,914,1728,0.529,,,,447,636,0.703,272.0,1111.0,1383,413,119.0,338.0,,292,2275,Kareem Abdul-Jabbar
45,1974-75,77498,0,1610612746,BUF,23.0,82,,3539.0,1095,2138,0.512,,,,641,796,0.805,307.0,848.0,1155,179,92.0,174.0,,278,2831,Bob McAdoo
46,1973-74,76003,0,1610612749,MIL,27.0,81,81.0,3548.0,948,1759,0.539,,,,295,420,0.7020000000000001,287.0,891.0,1178,386,112.0,283.0,,238,2191,Kareem Abdul-Jabbar
47,1972-73,76462,0,1610612738,BOS,24.0,82,,3425.0,740,1637,0.452,,,,204,262,0.779,,,1329,333,,,,311,1684,Dave Cowens
48,1971-72,76003,0,1610612749,MIL,25.0,81,81.0,3583.0,1159,2019,0.574,,,,504,732,0.6890000000000001,,,1346,370,,,,235,2822,Kareem Abdul-Jabbar
49,1970-71,76003,0,1610612749,MIL,24.0,82,82.0,3288.0,1063,1843,0.5770000000000001,,,,470,681,0.69,,,1311,272,,,,264,2596,Kareem Abdul-Jabbar
50,1969-70,77929,0,1610612752,NYK,28.0,81,,3089.0,702,1385,0.507,,,,351,464,0.7559999999999999,,,1126,161,,,,287,1755,Willis Reed
51,1968-69,78392,0,1610612764,BLT,23.0,82,,2970.0,427,897,0.47600000000000003,,,,277,458,0.605,,,1491,213,,,,276,1131,Wes Unseld
52,1967-68,76375,0,1610612755,PHL,31.0,82,,3836.0,819,1377,0.595,,,,354,932,0.38,,,1952,702,,,,160,1992,Wilt Chamberlain
53,1966-67,76375,0,1610612755,PHL,30.0,81,,3682.0,785,1150,0.6829999999999999,,,,386,875,0.441,,,1957,630,,,,143,1956,Wilt Chamberlain
54,1965-66,76375,0,1610612755,PHL,29.0,79,,3737.0,1074,1990,0.54,,,,501,976,0.513,,,1943,414,,,,171,2649,Wilt Chamberlain
55,1964-65,78049,0,1610612738,BOS,31.0,78,,3466.0,429,980,0.43799999999999994,,,,244,426,0.573,,,1878,410,,,,204,1102,Bill Russell
56,1963-64,600015,0,1610612758,CIN,25.0,79,,3559.0,840,1740,0.483,,,,800,938,0.853,,,783,868,,,,280,2480,Oscar Robertson
57,1962-63,78049,0,1610612738,BOS,29.0,78,,3500.0,511,1182,0.4320000000000001,,,,287,517,0.555,,,1843,348,,,,189,1309,Bill Russell
58,1961-62,78049,0,1610612738,BOS,28.0,76,,3433.0,575,1258,0.457,,,,286,481,0.595,,,1790,341,,,,207,1436,Bill Russell
59,1960-61,78049,0,1610612738,BOS,27.0,78,,3458.0,532,1250,0.426,,,,258,469,0.55,,,1868,268,,,,155,1322,Bill Russell
60,1959-60,76375,0,1610612744,PHW,23.0,72,,3338.0,1065,2311,0.461,,,,577,991,0.5820000000000001,,,1941,168,,,,150,2707,Wilt Chamberlain
61,1958-59,77847,0,1610612737,STL,26.0,72,,2873.0,719,1640,0.43799999999999994,,,,667,879,0.759,,,1182,221,,,,200,2105,Bob Pettit
62,1957-58,78049,0,1610612738,BOS,24.0,69,,2640.0,456,1032,0.442,,,,230,443,0.519,,,1564,202,,,,181,1142,Bill Russell
63,1956-57,600003,0,1610612738,BOS,28.0,64,,2364.0,478,1264,0.37799999999999995,,,,363,442,0.821,,,309,478,,,,134,1319,Bob Cousy
64,1955-56,77847,0,1610612737,STL,23.0,72,,2794.0,646,1507,0.429,,,,557,757,0.736,,,1164,189,,,,202,1849,Bob Pettit
